kod_lotniska,nazwa_lotniska,miasto,stan,kraj,latitude,longitude
FNL,Northern Colorado Regional Airport,Loveland,US-CO,US,40.44969,-105.011272
FNT,Bishop International Airport,Flint,US-MI,US,42.96540069580078,-83.74359893798828
FOE,Topeka Regional Airport,Topeka,US-KS,US,38.950901,-95.663597
FSD,Sioux Falls Regional Airport / Joe Foss Field,Sioux Falls,US-SD,US,43.585463,-96.741152
FSM,Fort Smith Regional Airport,Fort Smith,US-AR,US,35.336601,-94.367401
FWA,Fort Wayne International Airport,Fort Wayne,US-IN,US,40.9785,-85.195099
GCC,Northeast Wyoming Regional Airport,Gillette,US-WY,US,44.3489,-105.539001
GCK,Garden City Regional Airport,Garden City,US-KS,US,37.9275016785,-100.723999023
GEG,Spokane International Airport,Spokane,US-WA,US,47.6199,-117.533997
GFK,Grand Forks International Airport,Grand Forks,US-ND,US,47.949299,-97.176102
GGG,East Texas Regional Airport,Longview,US-TX,US,32.38399887084961,-94.71150207519533
GJT,Grand Junction Regional Airport,Grand Junction,US-CO,US,39.126663,-108.529387
GNV,Gainesville Regional Airport,Gainesville,US-FL,US,29.6900997162,-82.2717971802
GPT,Gulfport Biloxi International Airport,Gulfport,US-MS,US,30.407301,-89.070099
GRB,Austin Straubel International Airport,Green Bay,US-WI,US,44.483459,-88.130805
GRI,Central Nebraska Regional Airport,Grand Island,US-NE,US,40.967498779296875,-98.30960083007812
GRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US-TX,US,31.0672,-97.828903
GRR,Gerald R. Ford International Airport,Grand Rapids,US-MI,US,42.88079834,-85.52279663
GSO,Piedmont Triad International Airport,Greensboro,US-NC,US,36.097801,-79.937302
GSP,Greenville Spartanburg International Airport,Greer,US-SC,US,34.895699,-82.218903
GST,Gustavus Airport,Gustavus,US-AK,US,58.4253006,-135.7070007
GTF,Great Falls International Airport,Great Falls,US-MT,US,47.48199844,-111.3710022
GTR,Golden Triangle Regional Airport,Columbus/W Point/Starkville,US-MS,US,33.450298,-88.5914
GUC,Gunnison Crested Butte Regional Airport,Gunnison,US-CO,US,38.534672,-106.934566
GUM,Antonio B. Won Pat International Airport,Hagåtña,GU-U-A,GU,13.485,144.797282
HDN,Yampa Valley Airport,Hayden,US-CO,US,40.481201,-107.218002
HGR,Hagerstown Regional Richard A Henson Field,Hagerstown,US-MD,US,39.708771,-77.728014
HHH,Hilton Head Airport,Hilton Head Island,US-SC,US,32.2244,-80.697502
HIB,Range Regional Airport,Hibbing,US-MN,US,47.384831,-92.836905
HLN,Helena Regional Airport,Helena,US-MT,US,46.6068,-111.983002
HNL,Daniel K Inouye International Airport,"Honolulu, Oahu",US-HI,US,21.32062,-157.924228
HOB,Lea County Regional Airport,Hobbs,US-NM,US,32.6875,-103.217003
HOU,William P Hobby Airport,Houston,US-TX,US,29.645399,-95.2789
HPN,Westchester County Airport,White Plains,US-NY,US,41.06700134277344,-73.70760345458984
HRL,Valley International Airport,Harlingen,US-TX,US,26.228500366210938,-97.65440368652344
HSV,Huntsville International Carl T Jones Field,Huntsville,US-AL,US,34.637199,-86.775101
HTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,US-WV,US,38.366699,-82.557999
HVN,Tweed New Haven Airport,New Haven,US-CT,US,41.26369858,-72.88680267
HYA,Cape Cod Gateway Airport,Hyannis,US-MA,US,41.6693,-70.280403
HYS,Hays Regional Airport,Hays,US-KS,US,38.844521,-99.273148
IAD,Washington Dulles International Airport,Dulles,US-VA,US,38.9445,-77.455803
IAG,Niagara Falls International Airport,Niagara Falls,US-NY,US,43.1073,-78.946198
IAH,George Bush Intercontinental Houston Airport,Houston,US-TX,US,29.984399795532227,-95.34140014648438
ICT,Wichita Eisenhower National Airport,Wichita,US-KS,US,37.649899,-97.433098
IDA,Idaho Falls Regional Airport,Idaho Falls,US-ID,US,43.514599,-112.070999
IFP,Laughlin Bullhead International Airport,Bullhead City,US-AZ,US,35.157398,-114.559998
ILG,Wilmington Airport,Wilmington,US-DE,US,39.678699,-75.606499
ILM,Wilmington International Airport,Wilmington,US-NC,US,34.270599365234375,-77.90260314941406
IMT,Ford Airport,Kingsford,US-MI,US,45.81911,-88.114557
IND,Indianapolis International Airport,Indianapolis,US-IN,US,39.7173,-86.294403
INL,Falls International Airport,International Falls,US-MN,US,48.566200256347656,-93.4030990600586
IPL,Imperial County Airport,Imperial,US-CA,US,32.83539,-115.574026
ISN,Sloulin Field International Airport,Williston,US-ND,US,48.1733,-103.6414
ISP,Long Island Mac Arthur Airport,Islip,US-NY,US,40.79520035,-73.10019684
ITH,Ithaca Tompkins Regional Airport,Ithaca,US-NY,US,42.49100112915039,-76.4583969116211
ITO,Hilo International Airport,Hilo,US-HI,US,19.721399,-155.048004
IYK,Inyokern Airport,Inyokern,US-CA,US,35.65879822,-117.8300018
JAC,Jackson Hole Airport,Jackson,US-WY,US,43.6072998046875,-110.73799896240234
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,US-MS,US,32.311199,-90.075897
JAX,Jacksonville International Airport,Jacksonville,US-FL,US,30.492469,-81.687813
JFK,John F Kennedy International Airport,New York,US-NY,US,40.639447,-73.779317
JLN,Joplin Regional Airport,Joplin,US-MO,US,37.151798,-94.498299
JMS,Jamestown Regional Airport,Jamestown,US-ND,US,46.92969894,-98.67819977
JNU,Juneau International Airport,Juneau,US-AK,US,58.355,-134.576004
KOA,Ellison Onizuka Kona International Airport at Keahole,Kailua-Kona,US-HI,US,19.738783,-156.045603
KTN,Ketchikan International Airport,Ketchikan,US-AK,US,55.35559845,-131.7140045
LAN,Capital City Airport,Lansing,US-MI,US,42.77870178222656,-84.58740234375
LAR,Laramie Regional Airport,Laramie,US-WY,US,41.31209945678711,-105.6750030517578
LAS,Harry Reid International Airport,Las Vegas,US-NV,US,36.083361,-115.151817
LAW,Lawton Fort Sill Regional Airport,Lawton,US-OK,US,34.567699,-98.416603
LAX,Los Angeles International Airport,Los Angeles,US-CA,US,33.942501,-118.407997
LBB,Lubbock Preston Smith International Airport,Lubbock,US-TX,US,33.663601,-101.822998
LBE,Arnold Palmer Regional Airport,Latrobe,US-PA,US,40.275902,-79.4048
LBF,North Platte Regional Airport Lee Bird Field,North Platte,US-NE,US,41.12620163,-100.6839981
LBL,Liberal Mid-America Regional Airport,Liberal,US-KS,US,37.0442009,-100.9599991
LCH,Lake Charles Regional Airport,Lake Charles,US-LA,US,30.126100540161133,-93.22329711914062
LCK,Rickenbacker International Airport,Columbus,US-OH,US,39.813801,-82.927803
LEX,Blue Grass Airport,Lexington,US-KY,US,38.036499,-84.605904
LFT,Lafayette Regional Airport,Lafayette,US-LA,US,30.205299,-91.987602
LGA,LaGuardia Airport,New York,US-NY,US,40.777199,-73.872597
LGB,Long Beach Airport (Daugherty Field),Long Beach,US-CA,US,33.816523,-118.149891
LIH,Lihue Airport,Lihue,US-HI,US,21.976,-159.339005
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US-AR,US,34.729582,-92.223728
LMT,Crater Lake-Klamath Regional Airport,Klamath Falls,US-OR,US,42.156101,-121.733002
LNK,Lincoln Airport,Lincoln,US-NE,US,40.85100173950195,-96.75920104980467
LRD,Laredo International Airport,Laredo,US-TX,US,27.543800354003903,-99.46160125732422
LSE,La Crosse Regional Airport,La Crosse,US-WI,US,43.879002,-91.256699
